epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,664.275,1.83855,0.81978,1.16915,0.95339,1,0.995,0.39781,2.12139,0.78712,1.3343,0.000990365,0.000990365,0.000990365
43,677.727,1.78423,0.81509,1.1521,0.98939,1,0.995,0.36844,2.1237,0.82913,1.33878,0.000973861,0.000973861,0.000973861
44,689.556,1.78557,0.80087,1.15965,0.87948,0.98748,0.95047,0.33504,2.16368,0.97165,1.36661,0.000957358,0.000957358,0.000957358
45,699.571,1.82227,0.81105,1.18342,0.87893,0.93622,0.94189,0.36985,2.04716,0.94326,1.32042,0.000940855,0.000940855,0.000940855
46,709.751,1.77959,0.81869,1.15686,0.98407,1,0.995,0.43499,1.99608,0.84019,1.28288,0.000924352,0.000924352,0.000924352
47,719.804,1.7214,0.78044,1.12054,0.94597,0.96154,0.93615,0.34816,2.17136,0.90247,1.34239,0.000907848,0.000907848,0.000907848
48,730.141,1.67738,0.77414,1.12646,0.9477,0.96154,0.93615,0.3816,2.12023,0.86286,1.32313,0.000891345,0.000891345,0.000891345
49,740.203,1.72705,0.77908,1.14606,0.95132,0.96154,0.93923,0.39788,2.1159,0.80844,1.31119,0.000874842,0.000874842,0.000874842
50,750.6,1.72426,0.74402,1.12695,0.95108,0.96154,0.93615,0.37669,2.12648,0.80199,1.30325,0.000858338,0.000858338,0.000858338
51,761.381,1.61839,0.72655,1.11849,0.95353,0.95822,0.92731,0.39314,2.06218,0.81328,1.28969,0.000841835,0.000841835,0.000841835
52,771.611,1.58778,0.73915,1.05441,0.93302,0.96154,0.92731,0.38749,2.03814,0.86612,1.33735,0.000825332,0.000825332,0.000825332
53,781.851,1.72425,0.77291,1.16827,0.88867,0.91266,0.91051,0.33944,2.22582,0.92253,1.41192,0.000808828,0.000808828,0.000808828
54,792.318,1.69396,0.76377,1.14392,0.92377,0.96154,0.94231,0.38763,2.12119,0.83421,1.3327,0.000792325,0.000792325,0.000792325
55,802.525,1.65278,0.71791,1.09782,0.92752,0.95633,0.94231,0.43741,2.0184,0.79215,1.28787,0.000775822,0.000775822,0.000775822
56,812.193,1.67456,0.75315,1.10305,0.93602,0.95446,0.93923,0.41736,2.03476,0.79162,1.30907,0.000759318,0.000759318,0.000759318
