epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,575.373,1.81999,0.90899,1.18853,0.95142,0.94913,0.96786,0.40456,2.10751,0.85142,1.30849,0.000990365,0.000990365,0.000990365
43,591.522,1.93989,0.8871,1.25196,0.94879,0.96402,0.9925,0.42635,1.92095,0.82121,1.25255,0.000973861,0.000973861,0.000973861
44,607.658,1.83839,0.87993,1.18585,0.89498,0.94639,0.9313,0.38069,2.20517,0.951,1.34558,0.000957358,0.000957358,0.000957358
45,622.694,1.93337,0.90403,1.19729,0.94851,0.95652,0.9544,0.37775,2.25825,0.94628,1.37645,0.000940855,0.000940855,0.000940855
46,637.307,1.75812,0.88025,1.16974,0.93674,0.90994,0.92338,0.40135,2.11606,0.92946,1.3259,0.000924352,0.000924352,0.000924352
47,650.691,1.88627,0.89157,1.1594,0.93563,0.9052,0.92247,0.39422,2.17556,0.91536,1.35792,0.000907848,0.000907848,0.000907848
48,663.218,1.90458,0.87829,1.12519,0.95369,0.96154,0.945,0.41086,2.14338,0.90288,1.34695,0.000891345,0.000891345,0.000891345
49,676.049,1.84293,0.86119,1.18175,0.97145,1,0.995,0.42201,1.96754,0.83258,1.27105,0.000874842,0.000874842,0.000874842
50,690.204,1.88814,0.89384,1.19168,0.98649,1,0.995,0.43546,1.95842,0.82901,1.26768,0.000858338,0.000858338,0.000858338
51,702.899,1.89525,0.89074,1.1902,0.94359,0.96154,0.94404,0.3757,2.2463,0.87277,1.38464,0.000841835,0.000841835,0.000841835
52,715.489,1.86847,0.87929,1.19716,0.92084,0.96154,0.94508,0.38433,2.13362,0.84794,1.34548,0.000825332,0.000825332,0.000825332
53,728.718,1.82892,0.84113,1.18781,0.9122,0.96154,0.95258,0.39978,2.10004,0.84589,1.33123,0.000808828,0.000808828,0.000808828
54,742.082,1.81519,0.83313,1.17985,0.91085,0.96154,0.94563,0.38463,2.17703,0.93221,1.32365,0.000792325,0.000792325,0.000792325
55,755.652,1.88651,0.84303,1.16056,0.87425,0.90927,0.92236,0.37511,2.17598,0.90578,1.32448,0.000775822,0.000775822,0.000775822
56,768.728,1.83922,0.83517,1.16256,0.93252,0.95145,0.95531,0.40909,2.04154,0.88574,1.26181,0.000759318,0.000759318,0.000759318
57,782.263,1.7759,0.86331,1.14494,0.9512,0.96154,0.95699,0.39476,1.94375,0.89516,1.25997,0.000742815,0.000742815,0.000742815
58,795.007,1.75677,0.83225,1.1202,0.94092,0.96154,0.95391,0.39509,2.03108,0.92652,1.30019,0.000726312,0.000726312,0.000726312
59,808.443,1.67476,0.7835,1.09686,0.8711,0.88462,0.90066,0.35067,2.14535,0.92439,1.34305,0.000709809,0.000709809,0.000709809
60,823.044,1.71162,0.82573,1.14158,0.94608,0.96154,0.94971,0.41113,2.01913,0.81996,1.281,0.000693305,0.000693305,0.000693305
61,835.976,1.75816,0.78915,1.16951,0.94067,0.96154,0.96209,0.39714,2.00195,0.83422,1.28334,0.000676802,0.000676802,0.000676802
